#,Nome,Placagem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EQUIPA CASA,EQUIPA FORA,PONTOS CASA,PONTOS FORA,DATA,COMPETIÇÃO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Santarem,Montemor,40,17,7-nov.,TP
Column1,Column2,Placagem a dois,Placagem Efetiva,Placagem neutra,Placagem a recuar,Placagem falhada,Turnover feito,Interceção feita,Receção do ar-,ruck clear,Ruck Seal,Ruck perdido,Penalidades a defender,Carrie Positiva,Carrie Neutra,Carrie a recuar,Passe +,Passe -,Chuto,Interceção Sofrida,Chuto -,Offload,Linebreak,Turnover sofrido,Defesas batidos,Penalidades Ataque,Erros não forçados,Avant,Cartão Amarelo,Cartão Vermelho,Ensaio,Assistência,Chuto Pen (3pts) convertido,Chuto Pen (3pts) falhado,Drop Convertido,Drop Falhado,Accurate throw,Inaccurate throw,Lineout ganha,Lineout perdida,Duelo aéreo ganho,Duelo aéreo perdido,Kick pass,Receção de bola no ar,Conversão de ensaio acertada,Conversão de ensaio falhada,Drop de inicio on target,Drop de inicio off target,MINUTOS ,Erro forçado ao adversário,Offload menos,Plano de Jogo +,Plano de Jogo -,Extra,Fora do sitio,Linebreak assist,Pick&Go +,Pick & Go -,Alinhamento Próprio Ganho,Alinhamento Próprio Perdido,Alinhamento Adversário Ganho,Alinhamento Adversário Perdido,FO Própria ganha,FO Própria perdida,FO Adversária Ganha,FO Adversária Perdida,,,,,,,
1,Franco Dellamea,0,1,3,0,0,0,0,0,2,9,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,3,0,0,0,0,6,0,10,3,5,6,4,1,1,6,,,,,,,
2,António Veiga,2,0,0,0,0,1,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
3,António Mendes,4,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,55,0,0,2,0,0,0,0,0,0,,Penalidades a defender,Penalidades a atacar,Penalidades do adversário,,,,,,,,,,,
4,João Potier,2,3,4,0,1,0,0,0,2,15,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,,5,3,13,,,,,,,,,,,
5,Manuel Marques dos Santos,5,2,1,0,0,0,0,0,2,10,0,1,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,5,0,0,0,0,0,0,,,,,,,,,,,,,,,
6,Ben Taylor,3,0,1,0,3,0,0,1,0,4,1,1,2,3,2,0,0,0,0,0,1,0,2,1,0,1,2,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,80,0,0,0,0,0,0,0,3,0,,,,,,,,,,,,,,,
7,Luis MS,5,0,0,0,1,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,55,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
8,José Pedro Pinto Gouveia,6,1,1,0,0,0,0,0,1,7,0,0,8,3,0,4,0,1,0,0,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,80,0,0,2,1,2,0,1,4,0,,,,,,,,,,,,,,,
