NOME,MIN,ENSAIOS,CONVERSÕES FEITAS,CONVERSÕES TOTAL,PEN POSTES CONVERTIDAS,PEN POSTES TOTAL,DROPS CONVERTIDOS,DROPS TOTAL,ASSISTÊNCIA,PL. OFENSIVA,PL. NEUTRA,PL. DEFENSIVA,PLAC. ASSISTENTE,PL. FALHADA,FO DOMINANTE,RECUPERAÇÃO AL.,AL. SPORT COM SALTO,AL. SPORT SEM SALTO,INTRODUÇÕES GANHAS,INTRODUÇÕES TOTAIS,TURNOVERS,MOD. JOGO +,MOD. JOGO -,PENALIDADES - TOTAL,PEN - Fora de Jogo,PEN - Jogo no Chão,PEN - F.O.,PEN - Outros,OUTROS ERROS,DUELOS AEREOS (+),DUELOS AEREOS (–),OFFLOADS (+),OFFLOADS (–),PASSE QL,QUEBRAS DE LINHA,AVANTS,CARRIES (+),CARRIES,,ALINHAMENTO GANHOS SPORT,ALINHAMENTO TOTAIS SPORT,ALINHAMENTO GANHOS ADVERSARIO,ALINHAMENTO TOTAIS ADVERSARIO,FO GANHAS SPORT ,FO TOTAIS SPORT ,FO GANHAS ADVERSARIO,FO TOTAIS ADVERSARIO,,EQUIPA CASA,EQUIPA FORA,PONTOS CASA,PONTOS FORA,DATA,COMPETIÇÃO
Sérgio Oliveira,60,,,,,,,,,,2,,1,,2,,,,,,,,,,,,,,1,,,,,,,,,3,,16,16,3,11,9,10,1,11,,SPORT,GRUFC,17,10,27-Oct,Amigável
Aymerick Duvernois ,80,,,,,,,,1,,3,1,,,2,,,,4,4,,,,1,,1,,,,,,,,,,,,6,,,,,,,,,,,,,,,,
José Pedro Trindade ,60,,,,,,,,,1,1,,,,,,,,12,12,,,,1,1,,,,1,,,,,,,,1,7,,,,,,,,,,,,,,,,
Antonio Antao,50,,,,,,,,,,2,,,,,,5,,,,1,,,2,,2,,,,,,,,,,1,2,6,,,,, ,,,,,,,,,,,
Luís Ribeiro da Silva,80,,,,,,,,,,2,1,,1,2,2,4,,,,,1,,,,,,,,,,1,,,,4,,4,,,,,,,,,,,,,,,,
Luca-Filipe Loureiro,80,,,,,,,,,,2,1,1,1,,1,6,1,,,1,,,1,,1,,,1,,1,,1,,,,2,8,,,,,,,,,,,,,,,,
Francisco Santos ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
António Sousa-Cardoso,80,,,,,,,,,,3,,2,,,,,,,,,1,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,
Gonçalo Guimarães ,40,,,,,,,,,,1,1,1,1,,,,,,,,,,2,1,1,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,
Rui Marrana,60,,,1,,,,,,1,1,,,,,,,,,,,,1,1,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Bernardo Aranha,40,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,,,,,,,,,,,,,,,
Jorge Lima,80,1,1,2,,,,,1,,7,1,,,,,,,,,,1,,,,,,,1,,,1,,3,1,1,3,10,,,,,,,,,,,,,,,,
Francisco Campos ,40,,,,,,,,,,,1,,1,,,,,,,,2,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Rodrigo Castro Lima,60,1,,,,,,,,,,2,,2,,,,,,,,1,,,,,,,1,,,1,,,4,1,1,8,,,,,,,,,,,,,,,,
Miguel Marques,80,,,,,,,,,,4,1,,1,,,,,,,,1,,,,,,,,,,1,1,1,2,2,1,5,,,,,,,,,,,,,,,,
Guilherme Sardinha,40,1,,,,,,,,1,1,,,1,,,,,,,,,,1,,1,,,1,,,,,,1,,1,4,,,,,,,,,,,,,,,,
José Mendonça,40,,,,,,,,,,2,,,1,2,,,,,,,1,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,
Manuel Silva,40,,,,,,,,,,,1,,,,,,,,,,1,2,,,,,,,,,,,,2,1,,2,,,,,,,,,,,,,,,,
Zé Maria Sousa Soares,40,,,,,,,,,,5,,1,,2,,,,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,
Joaquim Neves ,60,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,1,,,,,,,1,1,5,,,,,,,,,,,,,,,,
Eduardo Pinto ,40,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,1,,1,,1,1,1,,,,,,,,,,,,,,,,
Miguel Serodio ,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,3,3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL,3,1,3,0,0,0,,3,3,39,12,6,10,,3,15,,16,16,2,,,9,,,,,9,0,1,7,2,,11,17,18,83,,,,,,,,,,,,,,,,
